Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,BooksLib\BooksLib.csproj,File,BooksLib\BooksLib.csproj,,,Microsoft.EntityFrameworkCore 9.0.9,,,,,"Microsoft.EntityFrameworkCore, 9.0.9  Recommendation:  Remove Microsoft.EntityFrameworkCore, and replace with new package Microsoft.EntityFrameworkCore 10.0.3"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,BooksLib\BooksLib.csproj,File,BooksLib\BooksLib.csproj,,,Microsoft.EntityFrameworkCore.SqlServer 9.0.9,,,,,"Microsoft.EntityFrameworkCore.SqlServer, 9.0.9  Recommendation:  Remove Microsoft.EntityFrameworkCore.SqlServer, and replace with new package Microsoft.EntityFrameworkCore.SqlServer 10.0.3"
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,BooksLib\BooksLib.csproj,File,BooksLib\BooksLib.csproj,,,,,,,,Current target framework: net9.0 Recommended target framework: net10.0
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,ConflictHandling-FirstWins\ConflictHandling-FirstWins.csproj,File,ConflictHandling-FirstWins\ConflictHandling-FirstWins.csproj,,,Microsoft.EntityFrameworkCore 9.0.9,,,,,"Microsoft.EntityFrameworkCore, 9.0.9  Recommendation:  Remove Microsoft.EntityFrameworkCore, and replace with new package Microsoft.EntityFrameworkCore 10.0.3"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,ConflictHandling-FirstWins\ConflictHandling-FirstWins.csproj,File,ConflictHandling-FirstWins\ConflictHandling-FirstWins.csproj,,,Microsoft.EntityFrameworkCore.Design 9.0.9,,,,,"Microsoft.EntityFrameworkCore.Design, 9.0.9  Recommendation:  Remove Microsoft.EntityFrameworkCore.Design, and replace with new package Microsoft.EntityFrameworkCore.Design 10.0.3"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,ConflictHandling-FirstWins\ConflictHandling-FirstWins.csproj,File,ConflictHandling-FirstWins\ConflictHandling-FirstWins.csproj,,,Microsoft.EntityFrameworkCore.SqlServer 9.0.9,,,,,"Microsoft.EntityFrameworkCore.SqlServer, 9.0.9  Recommendation:  Remove Microsoft.EntityFrameworkCore.SqlServer, and replace with new package Microsoft.EntityFrameworkCore.SqlServer 10.0.3"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,ConflictHandling-FirstWins\ConflictHandling-FirstWins.csproj,File,ConflictHandling-FirstWins\ConflictHandling-FirstWins.csproj,,,Microsoft.Extensions.Hosting 9.0.9,,,,,"Microsoft.Extensions.Hosting, 9.0.9  Recommendation:  Remove Microsoft.Extensions.Hosting, and replace with new package Microsoft.Extensions.Hosting 10.0.3"
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,ConflictHandling-FirstWins\ConflictHandling-FirstWins.csproj,File,ConflictHandling-FirstWins\ConflictHandling-FirstWins.csproj,,,,,,,,Current target framework: net9.0 Recommended target framework: net10.0
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,ConflictHandling-LastWins\ConflictHandling-LastWins.csproj,File,ConflictHandling-LastWins\ConflictHandling-LastWins.csproj,,,Microsoft.EntityFrameworkCore 9.0.9,,,,,"Microsoft.EntityFrameworkCore, 9.0.9  Recommendation:  Remove Microsoft.EntityFrameworkCore, and replace with new package Microsoft.EntityFrameworkCore 10.0.3"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,ConflictHandling-LastWins\ConflictHandling-LastWins.csproj,File,ConflictHandling-LastWins\ConflictHandling-LastWins.csproj,,,Microsoft.EntityFrameworkCore.Design 9.0.9,,,,,"Microsoft.EntityFrameworkCore.Design, 9.0.9  Recommendation:  Remove Microsoft.EntityFrameworkCore.Design, and replace with new package Microsoft.EntityFrameworkCore.Design 10.0.3"
